voc_id,title,content,user_role,user_id,equipment_id,alarm_code,category,priority,created_at,is_core,difficulty,expected_refusal,source_document_hint,expected_key_points
VOC-2026-0001,TEMP-H-001 알람 의미가 궁금합니다,ETCH-DRY-01 CH-A에서 오늘 오후 TEMP-H-001 알람이 떴습니다. 이 알람 코드가 정확히 무엇을 의미하나요?,EQ_ENG,U0002,ETCH-DRY-01,TEMP-H-001,알람 코드 의미 문의,NORMAL,2026-05-13 14:22:00,Y,easy,N,alarm_code_guide.md#sec-AC-TEMP-H-001,챔버 과열 High 알람|임계치: setpoint + 20°C 초과|자동 hold|관련 SOP: SOP-TEMP-001
VOC-2026-0002,PRES-C-001 의미 문의,THIN-CVD-02에서 PRES-C-001 알람이 발생했습니다. Critical로 표시되는데 정확한 의미와 발생 조건이 궁금합니다.,OP,U0013,THIN-CVD-02,PRES-C-001,알람 코드 의미 문의,HIGH,2026-05-14 03:15:00,Y,easy,N,alarm_code_guide.md#sec-AC-PRES-C-001,챔버 압력 Critical|setpoint 대비 ±30% 초과|즉시 hold|관련 SOP: SOP-PRES-001
VOC-2026-0003,RF-C-001 알람 의미,ETCH-DRY-03 CH-B에서 RF-C-001 Critical이 떴습니다. 의미를 알려주세요.,EQ_ENG,U0002,ETCH-DRY-03,RF-C-001,알람 코드 의미 문의,URGENT,2026-05-12 09:45:00,Y,easy,N,alarm_code_guide.md#sec-AC-RF-C-001,RF Reflected Power Critical|Reflected/Forward > 30%|즉시 RF off|관련 SOP: SOP-RF-001
VOC-2026-0004,VAC-H-001 알람 의미,THIN-PVD-01에서 VAC-H-001 High 알람. 진공도 미달이라고 하는데 어느 정도 미달인 건가요?,EQ_ENG,U0001,THIN-PVD-01,VAC-H-001,알람 코드 의미 문의,NORMAL,2026-05-11 11:30:00,Y,easy,N,alarm_code_guide.md#sec-AC-VAC-H-001,진공도 미달 High|base pressure > 5e-6 Torr|목표 1e-6 Torr|관련 SOP: SOP-VAC-001
VOC-2026-0005,COMM-M-001 알람 의미,여러 설비에서 COMM-M-001 알람이 산발적으로 발생하고 있습니다. SECS/GEM 관련이라고 하는데 정확히 무엇인가요?,EQ_ENG,U0023,,COMM-M-001,알람 코드 의미 문의,NORMAL,2026-05-13 10:05:00,Y,easy,N,alarm_code_guide.md#sec-AC-COMM-M-001,SECS/GEM 응답 지연|S6F11 응답 시간 > 5초|host load 증가 또는 buffer overflow|관련 SOP: SOP-COMM-001
VOC-2026-0006,REC-W-001 의미,REC-W-001 Recipe 버전 불일치 경고가 떴습니다. 실제로 잘못된 recipe로 가동되고 있는 건가요?,PROC_ENG,U0008,ETCH-DRY-02,REC-W-001,알람 코드 의미 문의,NORMAL,2026-05-14 16:20:00,Y,easy,N,alarm_code_guide.md#sec-AC-REC-W-001|faq.md#sec-FAQ-008,Recipe 버전 불일치 Warning|설비 실행 버전 ≠ MES 최신|대부분 단순 동기화 지연|잘못된 recipe로 가동 아님
VOC-2026-0007,DOSE-H-001 의미,IMP-HCI-01에서 DOSE-H-001 High 알람이 떴습니다. dose 균일도 관련이라는데 임계치가 어떻게 되나요?,PROC_ENG,U0011,IMP-HCI-01,DOSE-H-001,알람 코드 의미 문의,HIGH,2026-05-12 13:10:00,Y,easy,N,alarm_code_guide.md#sec-AC-DOSE-H-001,Dose 균일도 High|wafer 내 dose 균일도 (1σ) > 1.5%|관련 SOP: SOP-DOSE-001
VOC-2026-0008,GAS-W-001 발생,THIN-CVD-01에서 GAS-W-001 가스 잔량 부족 Warning이 떴습니다. 어떻게 처리하면 되나요?,OP,U0014,THIN-CVD-01,GAS-W-001,알람 코드 의미 문의,NORMAL,2026-05-13 22:40:00,Y,easy,N,alarm_code_guide.md#sec-AC-GAS-W-001|faq.md#sec-FAQ-004,실린더 잔량 < 15%|SOP 없음 — FAQ-004 참조|가스 공급팀(내선 3000)에 교체 요청|잔량 10% 이하에서 추가 알람 없음 — 운영 관리 필요
VOC-2026-0009,TEMP-H-001 떴는데 조치 방법 알려주세요,"THIN-CVD-02 CH-B에서 TEMP-H-001 발생. 현재 챔버 온도 335°C, recipe setpoint 310°C, recipe는 R-CVD-15입니다. 어떤 순서로 점검해야 하나요?",EQ_ENG,U0001,THIN-CVD-02,TEMP-H-001,조치 방법 문의,HIGH,2026-05-14 09:30:00,Y,medium,N,alarm_code_guide.md#sec-AC-TEMP-H-001|troubleshooting_guide.md#sec-SOP-TEMP-001,TEMP-H-001 의미 (setpoint +20°C 초과)|SOP-TEMP-001 1단계: 가스 공급 상태 확인|2단계: 냉각수 유량/온도 확인|3단계: 히터 출력 확인|4단계: TC 응답 확인|사전 안전: Toxic Gas 동시 검출 시 SOP-GAS-001 우선
VOC-2026-0010,PRES-C-001 발생 — 조치 절차,ETCH-DRY-01에서 PRES-C-001이 발생하여 챔버가 hold 되었습니다. 조치 방법을 알려주세요.,EQ_ENG,U0002,ETCH-DRY-01,PRES-C-001,조치 방법 문의,URGENT,2026-05-13 15:55:00,Y,medium,N,alarm_code_guide.md#sec-AC-PRES-C-001|troubleshooting_guide.md#sec-SOP-PRES-001,Critical은 수동 vent 금지|터보 펌프 회전수 95% 이상 확인|Throttle 위치 끝단 고착 여부|가스 flow 합 +15% 초과 시 SOP-FLOW-001 병행|Setpoint 변경 응답 테스트
