voc_id,created_at,user_id,title,category,priority,equipment_id,alarm_code,status,assignee_id,resolved_at
VOC-2026-H0130,2026-02-15 07:52:00,U0009,설비 상태 표시 불일치 (CMP-POL-02),설비 상태 불일치,NORMAL,CMP-POL-02,,RESOLVED,U0012,2026-02-15 10:52:00
VOC-2026-H0126,2026-02-16 03:56:05,U0021,센서 데이터 누락 확인 (MTL-INS-01),데이터 누락 문의,LOW,MTL-INS-01,,RESOLVED,U0002,2026-02-17 03:56:05
VOC-2026-H0070,2026-02-17 06:56:20,U0013,권한 문제 — 접근 불가,권한 문제,HIGH,CLN-WET-02,,RESOLVED,U0002,2026-02-17 08:56:20
VOC-2026-H0035,2026-02-17 07:40:47,U0021,VAC-W-001 조치 방법 안내 요청,조치 방법 문의,URGENT,,VAC-W-001,RESOLVED,U0003,2026-02-18 05:40:47
VOC-2026-H0150,2026-02-18 00:53:31,U0010,권한 문제 — 접근 불가,권한 문제,NORMAL,PHOTO-SCN-01,,RESOLVED,U0012,2026-02-20 23:53:31
VOC-2026-H0008,2026-02-18 20:48:35,U0010,FDC 시스템 접속 안됨,시스템 접속 오류,LOW,,,OPEN,,
VOC-2026-H0050,2026-02-19 10:40:14,U0025,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,HIGH,DIFF-RTP-01,,RESOLVED,U0006,2026-02-21 00:40:14
VOC-2026-H0093,2026-02-20 05:34:28,U0017,임계치 설정 변경 문의,임계치 설정 문의,HIGH,,,IN_PROGRESS,U0010,
VOC-2026-H0025,2026-02-21 13:27:12,U0002,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,NORMAL,MTL-MES-02,,RESOLVED,U0004,2026-02-23 07:27:12
VOC-2026-H0129,2026-02-22 05:48:57,U0002,PRES-C-001 의미 문의,알람 코드 의미 문의,NORMAL,PHOTO-CTR-01,PRES-C-001,RESOLVED,U0009,2026-02-22 20:48:57
VOC-2026-H0098,2026-02-22 10:04:51,U0008,센서 데이터 누락 확인 (CMP-POL-03),데이터 누락 문의,NORMAL,CMP-POL-03,,CLOSED,U0009,2026-02-24 22:04:51
VOC-2026-H0076,2026-02-23 16:54:50,U0006,임계치 설정 변경 문의,임계치 설정 문의,LOW,ETCH-WET-01,,IN_PROGRESS,U0001,
VOC-2026-H0082,2026-02-23 20:43:49,U0012,FDC 시스템 접속 안됨,시스템 접속 오류,NORMAL,PHOTO-CTR-01,,CLOSED,U0012,2026-02-23 22:43:49
VOC-2026-H0060,2026-02-24 10:17:19,U0024,VAC-W-001 의미 문의,알람 코드 의미 문의,NORMAL,PHOTO-SCN-01,VAC-W-001,RESOLVED,U0011,2026-02-26 00:17:19
VOC-2026-H0114,2026-02-24 16:57:06,U0017,임계치 설정 변경 문의,임계치 설정 문의,LOW,THIN-CVD-02,,RESOLVED,U0004,2026-02-25 09:57:06
VOC-2026-H0056,2026-02-25 00:08:24,U0012,Trend Chart 데이터 표시 안됨 (CMP-POL-03),Trend Chart 조회 오류,LOW,CMP-POL-03,,RESOLVED,U0002,2026-02-26 08:08:24
VOC-2026-H0135,2026-02-25 01:50:53,U0021, 의미 문의,알람 코드 의미 문의,HIGH,PHOTO-CTR-02,,RESOLVED,U0004,2026-02-27 03:50:53
VOC-2026-H0102,2026-02-25 19:04:01,U0013,설비 상태 표시 불일치 (IMP-HCI-02),설비 상태 불일치,HIGH,IMP-HCI-02,,RESOLVED,U0024,2026-02-27 09:04:01
VOC-2026-H0042,2026-02-25 22:36:00,U0011,알람 원인 확인 요청 (DIFF-RTP-01),알람 원인 문의,NORMAL,DIFF-RTP-01,,RESOLVED,U0004,2026-02-28 02:36:00
VOC-2026-H0061,2026-02-26 14:25:15,U0014,GAS-H-001 조치 방법 안내 요청,조치 방법 문의,NORMAL,,GAS-H-001,RESOLVED,U0024,2026-02-27 11:25:15
VOC-2026-H0146,2026-02-27 01:53:11,U0011,임계치 설정 변경 문의,임계치 설정 문의,HIGH,MTL-INS-01,,IN_PROGRESS,U0023,
VOC-2026-H0073,2026-02-28 11:55:58,U0020,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,ETCH-DRY-01,,OPEN,,
VOC-2026-H0065,2026-03-01 04:03:26,U0019,MECH-H-001 의미 문의,알람 코드 의미 문의,LOW,,MECH-H-001,RESOLVED,U0011,2026-03-03 10:03:26
VOC-2026-H0071,2026-03-02 03:59:09,U0023,FDC 시스템 접속 안됨,시스템 접속 오류,NORMAL,CLN-WET-01,,RESOLVED,U0007,2026-03-04 05:59:09
VOC-2026-H0137,2026-03-02 06:12:31,U0005,FDC 시스템 접속 안됨,시스템 접속 오류,NORMAL,PHOTO-SCN-03,,RESOLVED,U0002,2026-03-02 15:12:31
VOC-2026-H0015,2026-03-02 13:06:51,U0003,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,CLN-WET-01,,RESOLVED,U0007,2026-03-03 16:06:51
VOC-2026-H0016,2026-03-03 14:43:39,U0014,Trend Chart 조회 불가,Trend Chart 조회 오류,LOW,,,RESOLVED,U0004,2026-03-05 19:43:39
VOC-2026-H0145,2026-03-03 15:34:09,U0002,Trend Chart 데이터 표시 안됨 (PHOTO-CTR-01),Trend Chart 조회 오류,NORMAL,PHOTO-CTR-01,,OPEN,,
VOC-2026-H0075,2026-03-04 00:20:33,U0018,REC-M-001 원인 확인 요청 (PHOTO-SCN-02),알람 원인 문의,LOW,PHOTO-SCN-02,REC-M-001,IN_PROGRESS,U0010,
VOC-2026-H0009,2026-03-04 08:12:38,U0009,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,MTL-INS-01,,RESOLVED,U0011,2026-03-07 04:12:38
VOC-2026-H0012,2026-03-04 15:39:05,U0017,VAC-H-001 의미 문의,알람 코드 의미 문의,NORMAL,,VAC-H-001,RESOLVED,U0010,2026-03-06 20:39:05
VOC-2026-H0024,2026-03-05 02:40:45,U0022,TEMP-H-002 의미 문의,알람 코드 의미 문의,HIGH,ETCH-DRY-01,TEMP-H-002,OPEN,,
VOC-2026-H0091,2026-03-05 08:06:30,U0001,MECH-W-001 원인 확인 요청 (PHOTO-CTR-02),알람 원인 문의,LOW,PHOTO-CTR-02,MECH-W-001,IN_PROGRESS,U0006,
VOC-2026-H0034,2026-03-05 08:38:10,U0008,임계치 설정 변경 문의,임계치 설정 문의,LOW,,,RESOLVED,U0012,2026-03-08 04:38:10
VOC-2026-H0037,2026-03-05 13:26:02,U0025,임계치 설정 변경 문의,임계치 설정 문의,HIGH,THIN-CVD-01,,RESOLVED,U0009,2026-03-06 07:26:02
VOC-2026-H0084,2026-03-06 02:16:41,U0008,Trend Chart 데이터 표시 안됨 (CMP-POL-02),Trend Chart 조회 오류,NORMAL,CMP-POL-02,,IN_PROGRESS,U0009,
VOC-2026-H0149,2026-03-07 13:13:16,U0005,데이터 누락 문의,데이터 누락 문의,HIGH,,,RESOLVED,U0008,2026-03-08 10:13:16
VOC-2026-H0120,2026-03-09 12:29:16,U0024,센서 데이터 누락 확인 (PHOTO-SCN-02),데이터 누락 문의,URGENT,PHOTO-SCN-02,,RESOLVED,U0007,2026-03-11 14:29:16
VOC-2026-H0053,2026-03-10 08:58:26,U0025,GAS-C-001 원인 확인 요청 (PHOTO-SCN-02),알람 원인 문의,HIGH,PHOTO-SCN-02,GAS-C-001,CLOSED,U0001,2026-03-13 00:58:26
VOC-2026-H0123,2026-03-10 14:21:52,U0001,설비 상태 표시 불일치 (ETCH-DRY-03),설비 상태 불일치,HIGH,ETCH-DRY-03,,OPEN,,
