equipment_id,type,process,full_name,location,vendor,install_year,chambers,status
THIN-CVD-01,CVD,THIN,PECVD/LPCVD Chamber,FAB1-1F-A01,AMAT,2021,CH-A|CH-B,PRODUCTION
THIN-CVD-02,CVD,THIN,PECVD/LPCVD Chamber,FAB1-1F-A02,AMAT,2021,CH-A|CH-B,PRODUCTION
THIN-CVD-03,CVD,THIN,PECVD/LPCVD Chamber,FAB1-1F-A03,LAM,2022,CH-A,PRODUCTION
THIN-PVD-01,PVD,THIN,Sputter/PVD Chamber,FAB1-1F-B01,AMAT,2020,CH-A|CH-B|CH-C,PRODUCTION
THIN-PVD-02,PVD,THIN,Sputter/PVD Chamber,FAB1-1F-B02,AMAT,2020,CH-A|CH-B,PRODUCTION
ETCH-DRY-01,DRY,ETCH,Dry Etcher (RIE/ICP),FAB1-2F-A01,LAM,2022,CH-A|CH-B,PRODUCTION
ETCH-DRY-02,DRY,ETCH,Dry Etcher (RIE/ICP),FAB1-2F-A02,LAM,2022,CH-A|CH-B,PRODUCTION
ETCH-DRY-03,DRY,ETCH,Dry Etcher (RIE/ICP),FAB1-2F-A03,TEL,2023,CH-A|CH-B|CH-C|CH-D,PRODUCTION
ETCH-WET-01,WET,ETCH,Wet Etch/Cleaner Bench,FAB1-2F-B01,SEMES,2019,,PRODUCTION
PHOTO-SCN-01,SCN,PHOTO,Lithography Scanner,FAB1-3F-A01,ASML,2022,,PRODUCTION
PHOTO-SCN-02,SCN,PHOTO,Lithography Scanner,FAB1-3F-A02,ASML,2022,,PRODUCTION
PHOTO-SCN-03,SCN,PHOTO,Lithography Scanner,FAB1-3F-A03,ASML,2020,,PRODUCTION
PHOTO-CTR-01,CTR,PHOTO,Coater/Developer Track,FAB1-3F-B01,TEL,2021,,PRODUCTION
PHOTO-CTR-02,CTR,PHOTO,Coater/Developer Track,FAB1-3F-B02,TEL,2021,,PRODUCTION
DIFF-FUR-01,FUR,DIFF,Vertical/Horizontal Furnace,FAB1-4F-A01,KOKUSAI,2019,Z1|Z2|Z3|Z4|Z5,PRODUCTION
DIFF-FUR-02,FUR,DIFF,Vertical/Horizontal Furnace,FAB1-4F-A02,KOKUSAI,2019,Z1|Z2|Z3|Z4|Z5,PRODUCTION
DIFF-FUR-03,FUR,DIFF,Vertical/Horizontal Furnace,FAB1-4F-A03,TEL,2020,Z1|Z2|Z3,MAINTENANCE
DIFF-RTP-01,RTP,DIFF,Rapid Thermal Processor,FAB1-4F-B01,AMAT,2022,CH-A,PRODUCTION
IMP-HCI-01,HCI,IMP,High Current Implanter,FAB1-5F-A01,AMAT,2020,,PRODUCTION
IMP-HCI-02,HCI,IMP,High Current Implanter,FAB1-5F-A02,AMAT,2020,,PRODUCTION
IMP-MCI-01,MCI,IMP,Medium Current Implanter,FAB1-5F-B01,AXCELIS,2021,,PRODUCTION
CMP-POL-01,POL,CMP,CMP Polisher,FAB1-6F-A01,AMAT,2021,,PRODUCTION
CMP-POL-02,POL,CMP,CMP Polisher,FAB1-6F-A02,AMAT,2021,,PRODUCTION
CMP-POL-03,POL,CMP,CMP Polisher,FAB1-6F-A03,EBARA,2023,,PRODUCTION
CLN-WET-01,CLN,CLN,Wet Cleaner,FAB1-6F-B01,SEMES,2020,,PRODUCTION
CLN-WET-02,CLN,CLN,Wet Cleaner,FAB1-6F-B02,SEMES,2020,,PRODUCTION
MTL-MES-01,MES,MTL,Thickness/CD Measurement,FAB1-7F-A01,KLA,2022,,PRODUCTION
MTL-MES-02,MES,MTL,Thickness/CD Measurement,FAB1-7F-A02,NANOMETRICS,2021,,PRODUCTION
MTL-INS-01,INS,MTL,Defect/Overlay Inspector,FAB1-7F-B01,KLA,2022,,PRODUCTION
MTL-INS-02,INS,MTL,Defect/Overlay Inspector,FAB1-7F-B02,KLA,2021,,PRODUCTION
