alarm_event_id,occurred_at,equipment_id,chamber,alarm_code,severity,duration_sec,status,recipe_id,lot_id
AE-20260215-0001,2026-02-15 03:07:57,THIN-PVD-01,CH-A,HV-H-001,H,385,CLEARED,R-PVD-13,
AE-20260215-0002,2026-02-15 04:20:12,ETCH-DRY-03,CH-D,REC-W-001,W,112,CLEARED,R-DRY-26,
AE-20260215-0003,2026-02-15 10:44:58,ETCH-DRY-01,CH-B,COMM-W-002,W,101,CLEARED,R-DRY-21,LOT-20260215-141
AE-20260215-0004,2026-02-15 22:49:47,DIFF-FUR-02,Z4,REC-W-001,W,61,CLEARED,,
AE-20260216-0005,2026-02-16 05:14:22,CMP-POL-02,,MECH-W-001,W,32,CLEARED,R-POL-01,
AE-20260216-0006,2026-02-16 08:38:25,DIFF-FUR-02,Z4,COMM-W-002,W,36,CLEARED,R-FUR-28,
AE-20260216-0007,2026-02-16 09:21:13,ETCH-DRY-02,CH-B,RF-M-001,M,117,CLEARED,R-DRY-29,LOT-20260216-192
AE-20260216-0008,2026-02-16 12:42:38,CMP-POL-01,,COMM-H-001,H,817,CLEARED,R-POL-29,LOT-20260216-049
AE-20260216-0009,2026-02-16 13:53:24,PHOTO-SCN-02,,REC-M-001,M,93,ACKNOWLEDGED,R-SCN-14,LOT-20260216-096
AE-20260216-0010,2026-02-16 16:02:39,CLN-WET-01,,CHEM-H-001,H,772,CLEARED,R-CLN-18,LOT-20260216-100
AE-20260216-0011,2026-02-16 16:16:42,DIFF-FUR-02,Z4,COMM-M-001,M,167,CLEARED,R-FUR-15,LOT-20260216-142
AE-20260216-0012,2026-02-16 21:35:27,DIFF-FUR-02,Z3,FLOW-H-001,H,612,CLEARED,,LOT-20260216-103
AE-20260217-0013,2026-02-17 03:34:47,PHOTO-CTR-01,,REC-H-001,H,182,CLEARED,,
AE-20260217-0014,2026-02-17 03:56:42,THIN-CVD-01,CH-B,COMM-M-001,M,239,CLEARED,R-CVD-06,LOT-20260217-167
AE-20260217-0015,2026-02-17 08:36:42,DIFF-FUR-02,Z1,REC-M-001,M,164,CLEARED,R-FUR-04,LOT-20260217-123
AE-20260217-0016,2026-02-17 10:12:57,MTL-INS-02,,COMM-H-001,H,343,CLEARED,,LOT-20260217-028
AE-20260217-0017,2026-02-17 11:49:49,ETCH-DRY-03,CH-C,REC-M-001,M,71,CLEARED,R-DRY-02,LOT-20260217-013
AE-20260217-0018,2026-02-17 18:52:27,PHOTO-SCN-01,,COMM-M-001,M,75,OPEN,,
AE-20260217-0019,2026-02-17 18:54:53,MTL-MES-01,,COMM-W-001,W,59,CLEARED,,LOT-20260217-032
